id,ativo,possui_variacoes,marca,codigo_erp,ncm,nome,buscavel,produto_digital,categorias,colecoes,filtros,variacoes,selos,slug,video,descricao,meses_de_garantia,frete_customizado,valor_do_frete,especificacoes,medidas,valor_de_presente,categoria_google,seo_titulo_pagina,seo_descricao,seo_palavras_chave,link_canonico,termos_de_busca,link_produto,link_foto_principal
,sim,nao,Age Solutions,,,Ômega 3 - Kit com 3 TESTE,sim,nao,Kits,,kit;omega,,,omega-kit-3,,<p>3 potes de 120 cápsulas.</p>,0,nao,0,,,0,,,,kit;omega,,kit;omega,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/gold_6619f2e9-71f7-4ccf-a72d-d4d19e157997.svg?v=1772429594
,sim,nao,Age Solutions,,,Ômega 3 Ultra Concentrado,sim,nao,Ômega 3,,omega;saude-cardiovascular,,,omega-ind,,<p>120 cápsulas. Alta concentração EPA/DHA.</p>,0,nao,0,,,0,,,,omega;saude-cardiovascular,,omega;saude-cardiovascular,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/gold.svg?v=1772429594
,sim,nao,Age Solutions,,,6 Potes Colágeno Verisol,sim,nao,Kits,,colageno;kit;verisol,,,verisol-kit-6,,"<h2>Tecnologia Verisol® para a Estrutura da sua Pele, Cabelos e Unhas.</h2>

<p>O Colágeno Verisol Age Solutions utiliza peptídeos bioativos específicos que estimulam a produção natural de colágeno pelo corpo. É o suporte estrutural ideal para prevenir o envelhecimento precoce e a flacidez.</p>

<h3>Destaques Técnicos:</h3>
<ul>
<li>
<strong>Alta Absorção:</strong> Peptídeos hidrolisados de alta biodisponibilidade.</li>
<li>
<strong>Saúde Estética:</strong> Fortalece unhas e cabelos enquanto melhora a elasticidade da derme.</li>
<li>
<strong>Ideal para 30+:</strong> Atua diretamente na reposição da queda natural de colágeno que ocorre com o passar dos anos.</li>
</ul>

<h3>Logística:</h3>
<p>Enviamos em até 24h para São Paulo e oferecemos Frete Grátis em compras acima de R$ 49,90 para todo o Brasil.</p>",0,nao,0,,,0,,,,colageno;kit;verisol,,colageno;kit;verisol,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1H15nQWZblvjbNqYBrKDgurKNHqBNTvjA_1aec5a81-1849-4d64-9554-0dac4d538a22.jpg?v=1772429593
,sim,nao,Age Solutions,,,3 Potes Colágeno Verisol,sim,nao,Kits,,colageno;kit;mais-vendido;verisol,,,verisol-kit-3,,"<h2>Tecnologia Verisol® para a Estrutura da sua Pele, Cabelos e Unhas.</h2>

<p>O Colágeno Verisol Age Solutions utiliza peptídeos bioativos específicos que estimulam a produção natural de colágeno pelo corpo. É o suporte estrutural ideal para prevenir o envelhecimento precoce e a flacidez.</p>

<h3>Destaques Técnicos:</h3>
<ul>
<li>
<strong>Alta Absorção:</strong> Peptídeos hidrolisados de alta biodisponibilidade.</li>
<li>
<strong>Saúde Estética:</strong> Fortalece unhas e cabelos enquanto melhora a elasticidade da derme.</li>
<li>
<strong>Ideal para 30+:</strong> Atua diretamente na reposição da queda natural de colágeno que ocorre com o passar dos anos.</li>
</ul>

<h3>Logística:</h3>
<p>Enviamos em até 24h para São Paulo e oferecemos Frete Grátis em compras acima de R$ 49,90 para todo o Brasil.</p>",0,nao,0,,,0,,,,colageno;kit;mais-vendido;verisol,,colageno;kit;mais-vendido;verisol,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1H15nQWZblvjbNqYBrKDgurKNHqBNTvjA.jpg?v=1772429593
,sim,nao,Age Solutions,,,2 Potes Colágeno Verisol,sim,nao,Kits,,colageno;kit;verisol,,,verisol-kit-2,,"<h2>Tecnologia Verisol® para a Estrutura da sua Pele, Cabelos e Unhas.</h2>

<p>O Colágeno Verisol Age Solutions utiliza peptídeos bioativos específicos que estimulam a produção natural de colágeno pelo corpo. É o suporte estrutural ideal para prevenir o envelhecimento precoce e a flacidez.</p>

<h3>Destaques Técnicos:</h3>
<ul>
<li>
<strong>Alta Absorção:</strong> Peptídeos hidrolisados de alta biodisponibilidade.</li>
<li>
<strong>Saúde Estética:</strong> Fortalece unhas e cabelos enquanto melhora a elasticidade da derme.</li>
<li>
<strong>Ideal para 30+:</strong> Atua diretamente na reposição da queda natural de colágeno que ocorre com o passar dos anos.</li>
</ul>

<h3>Logística:</h3>
<p>Enviamos em até 24h para São Paulo e oferecemos Frete Grátis em compras acima de R$ 49,90 para todo o Brasil.</p>",0,nao,0,,,0,,,,colageno;kit;verisol,,colageno;kit;verisol,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/15EA9Itgo7VmVNm_9dadIpaY-NvcfF3b8.jpg?v=1772429592
,sim,nao,Age Solutions,,,1 Pote Colágeno Verisol,sim,nao,Colágeno,,colageno;verisol,,,verisol-ind,,"<h2>Tecnologia Verisol® para a Estrutura da sua Pele, Cabelos e Unhas.</h2>

<p>O Colágeno Verisol Age Solutions utiliza peptídeos bioativos específicos que estimulam a produção natural de colágeno pelo corpo. É o suporte estrutural ideal para prevenir o envelhecimento precoce e a flacidez.</p>

<h3>Destaques Técnicos:</h3>
<ul>
<li>
<strong>Alta Absorção:</strong> Peptídeos hidrolisados de alta biodisponibilidade.</li>
<li>
<strong>Saúde Estética:</strong> Fortalece unhas e cabelos enquanto melhora a elasticidade da derme.</li>
<li>
<strong>Ideal para 30+:</strong> Atua diretamente na reposição da queda natural de colágeno que ocorre com o passar dos anos.</li>
</ul>

<h3>Logística:</h3>
<p>Enviamos em até 24h para São Paulo e oferecemos Frete Grátis em compras acima de R$ 49,90 para todo o Brasil.</p>",0,nao,0,,,0,,,,colageno;verisol,,colageno;verisol,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1Y6x63-ucORHZ6uiRdcUJS0Hg19t1a2BB.jpg?v=1772429591
,sim,nao,Age Solutions,,,Celluli Burn - Kit com 6,sim,nao,Kits,,celluli;kit,,,cell-kit-6,,"<h2>Estratégia Metabólica Inteligente contra a Celulite e Gordura Localizada.</h2>

<p>O Celluli Burn é um suplemento 100% natural formulado para atuar de dentro para fora no combate aos fatores que geram o aspecto de ""casca de laranja"". Sua fórmula foca na redução da inflamação e na melhora da microcirculação periférica.</p>

<h3>Benefícios Principais:</h3>
<ul>
<li>
<strong>Redução de Medidas:</strong> Auxilia na queima de gordura localizada e no metabolismo energético.</li>
<li>
<strong>Ação Drenante:</strong> Reduz o inchaço e a retenção de líquidos que agravam a celulite.</li>
<li>
<strong>Pureza Total:</strong> 0% açúcar, 0% lactose e 0% glúten.</li>
<li>
<strong>Vitalidade:</strong> Proporciona mais disposição para a rotina diária.</li>
</ul>

<h3>Como Consumir:</h3>
<p>Ingerir duas doses diárias, preferencialmente após as refeições principais (café da manhã ou almoço).</p>

<h3>Perguntas Frequentes (FAQ):</h3>
<p><strong>Quando verei resultados?</strong> Os primeiros sinais costumam aparecer a partir da 4ª semana, com resultados mais consolidados após 8 semanas de uso contínuo.</p>
<p><strong>É natural?</strong> Sim, priorizamos ingredientes puros, sem corantes artificiais ou conservantes.</p>",0,nao,0,,,0,,,,celluli;kit,,celluli;kit,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1450UF0tdiT5sjxv7CJZJeh4CuZpNZAAY_4cdb41bb-2383-48dd-8cc7-4a62c714d780.jpg?v=1772429590
,sim,nao,Age Solutions,,,Celluli Burn - Kit com 3,sim,nao,Kits,,celluli;kit;mais-vendido,,,cell-kit-3,,"<h2>Estratégia Metabólica Inteligente contra a Celulite e Gordura Localizada.</h2>

<p>O Celluli Burn é um suplemento 100% natural formulado para atuar de dentro para fora no combate aos fatores que geram o aspecto de ""casca de laranja"". Sua fórmula foca na redução da inflamação e na melhora da microcirculação periférica.</p>

<h3>Benefícios Principais:</h3>
<ul>
<li>
<strong>Redução de Medidas:</strong> Auxilia na queima de gordura localizada e no metabolismo energético.</li>
<li>
<strong>Ação Drenante:</strong> Reduz o inchaço e a retenção de líquidos que agravam a celulite.</li>
<li>
<strong>Pureza Total:</strong> 0% açúcar, 0% lactose e 0% glúten.</li>
<li>
<strong>Vitalidade:</strong> Proporciona mais disposição para a rotina diária.</li>
</ul>

<h3>Como Consumir:</h3>
<p>Ingerir duas doses diárias, preferencialmente após as refeições principais (café da manhã ou almoço).</p>

<h3>Perguntas Frequentes (FAQ):</h3>
<p><strong>Quando verei resultados?</strong> Os primeiros sinais costumam aparecer a partir da 4ª semana, com resultados mais consolidados após 8 semanas de uso contínuo.</p>
<p><strong>É natural?</strong> Sim, priorizamos ingredientes puros, sem corantes artificiais ou conservantes.</p>",0,nao,0,,,0,,,,celluli;kit;mais-vendido,,celluli;kit;mais-vendido,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1450UF0tdiT5sjxv7CJZJeh4CuZpNZAAY.jpg?v=1772429589
,sim,nao,Age Solutions,,,Celluli Burn - Kit com 2,sim,nao,Kits,,celluli;kit,,,cell-kit-2,,"<h2>Estratégia Metabólica Inteligente contra a Celulite e Gordura Localizada.</h2>

<p>O Celluli Burn é um suplemento 100% natural formulado para atuar de dentro para fora no combate aos fatores que geram o aspecto de ""casca de laranja"". Sua fórmula foca na redução da inflamação e na melhora da microcirculação periférica.</p>

<h3>Benefícios Principais:</h3>
<ul>
<li>
<strong>Redução de Medidas:</strong> Auxilia na queima de gordura localizada e no metabolismo energético.</li>
<li>
<strong>Ação Drenante:</strong> Reduz o inchaço e a retenção de líquidos que agravam a celulite.</li>
<li>
<strong>Pureza Total:</strong> 0% açúcar, 0% lactose e 0% glúten.</li>
<li>
<strong>Vitalidade:</strong> Proporciona mais disposição para a rotina diária.</li>
</ul>

<h3>Como Consumir:</h3>
<p>Ingerir duas doses diárias, preferencialmente após as refeições principais (café da manhã ou almoço).</p>

<h3>Perguntas Frequentes (FAQ):</h3>
<p><strong>Quando verei resultados?</strong> Os primeiros sinais costumam aparecer a partir da 4ª semana, com resultados mais consolidados após 8 semanas de uso contínuo.</p>
<p><strong>É natural?</strong> Sim, priorizamos ingredientes puros, sem corantes artificiais ou conservantes.</p>",0,nao,0,,,0,,,,celluli;kit,,celluli;kit,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1rIKr_pT7RFEz6tVAGo3PQICq4EtT2JIU_9959db64-3eb1-4658-8754-cb97d26d92ca.jpg?v=1772429589
,sim,nao,Age Solutions,,,Coenzima Q10 - Kit com 6,sim,nao,Kits,,coenzima;kit,,,coenz-kit-6,,<p>360 cápsulas totais.</p>,0,nao,0,,,0,,,,coenzima;kit,,coenzima;kit,,https://cdn.shopify.com/s/files/1/0801/4263/1129/files/1z764f5Ozo0qBgXsbHAjHASNF_zghzS8e_14073319-26cd-484c-8f0b-8d7be14d62c5.jpg?v=1772429587
